city,state,total_purchases,total_revenue,avg_check
Pulaski,PE,7,32258.0,4608.2857142857142857
Plano,MB,6,27358.0,4559.6666666666666667
Gainesville,ON,8,34442.0,4305.2500000000000000
Washington,NH,6,25692.0,4282.0000000000000000
East Rutherford,NM,7,29300.0,4185.7142857142857143
Las Cruces,IN,8,33340.0,4167.5000000000000000
Grafton,OH,6,24218.0,4036.3333333333333333
Buffalo,YT,6,23532.0,3922.0000000000000000
Maywood,YT,6,23162.0,3860.3333333333333333
Montpelier,AL,6,23128.0,3854.6666666666666667
Gold Beach,BC,10,37281.0,3728.1000000000000000
Little Rock,VA,8,28992.0,3624.0000000000000000
Medford,TN,8,28406.0,3550.7500000000000000
Broken Arrow,CT,7,24534.0,3504.8571428571428571
Louisville,NU,8,27812.0,3476.5000000000000000
Laguna Hills,NT,6,20814.0,3469.0000000000000000
Dayton,LA,6,20484.0,3414.0000000000000000
Raleigh,QC,6,20216.0,3369.3333333333333333
Great Falls,RI,6,20082.0,3347.0000000000000000
Cohoes,AK,8,26396.0,3299.5000000000000000
Nevada City,ON,7,22752.0,3250.2857142857142857
Portsmouth,DE,6,19108.0,3184.6666666666666667
Saukville,NS,6,19062.0,3177.0000000000000000
Davis,NV,9,28566.0,3174.0000000000000000
Annapolis,QC,13,40943.0,3149.4615384615384615
Pomona,SK,8,24800.0,3100.0000000000000000
Fulton,AZ,6,18344.0,3057.3333333333333333
Arcadia,OR,7,21400.0,3057.1428571428571429
Montebello,NU,12,36681.0,3056.7500000000000000
Appleton,MA,7,21254.0,3036.2857142857142857
Portland,LA,15,45414.0,3027.6000000000000000
Merizo,NV,7,21161.0,3023.0000000000000000
Cedarburg,LA,7,21148.0,3021.1428571428571429
Rome,DE,9,26977.0,2997.4444444444444444
Berlin,SK,7,20804.0,2972.0000000000000000
Peekskill,NY,9,26664.0,2962.6666666666666667
Barre,NY,8,23474.0,2934.2500000000000000
Syracuse,NL,13,37693.0,2899.4615384615384615
West Bend,VA,6,17330.0,2888.3333333333333333
Montgomery,PE,15,43253.0,2883.5333333333333333
Spokane Valley,KY,7,20132.0,2876.0000000000000000
West Hartford,CO,9,25827.0,2869.6666666666666667
Chattanooga,NT,8,22867.0,2858.3750000000000000
Belpre,NV,6,16910.0,2818.3333333333333333
Norman,AZ,8,22479.0,2809.8750000000000000
Beverly,QC,6,16809.0,2801.5000000000000000
Virginia Beach,NU,7,19596.0,2799.4285714285714286
Cranston,MT,7,19573.0,2796.1428571428571429
Blacksburg,MI,6,16731.0,2788.5000000000000000
Thiensville,NE,13,36080.0,2775.3846153846153846
Milford,AK,6,16606.0,2767.6666666666666667
Guayanilla,OH,6,16551.0,2758.5000000000000000
Lock Haven,NV,12,33062.0,2755.1666666666666667
Baltimore,QC,7,19235.0,2747.8571428571428571
Yakima,RI,9,24671.0,2741.2222222222222222
Phoenix,BC,8,21726.0,2715.7500000000000000
Lebanon,NJ,7,18985.0,2712.1428571428571429
Greensboro,NJ,8,21668.0,2708.5000000000000000
Tamuning,NU,8,21362.0,2670.2500000000000000
Brookings,NL,10,26667.0,2666.7000000000000000
Greensburg,QC,7,18556.0,2650.8571428571428571
Eufaula,NJ,10,26484.0,2648.4000000000000000
West Hartford,ID,8,21184.0,2648.0000000000000000
Kenner,WI,6,15882.0,2647.0000000000000000
Parma,VA,6,15778.0,2629.6666666666666667
New Madrid,AL,12,31532.0,2627.6666666666666667
Cambridge,SK,8,20854.0,2606.7500000000000000
Birmingham,ME,7,18238.0,2605.4285714285714286
Whittier,ON,6,15611.0,2601.8333333333333333
Farmington,GA,9,23398.0,2599.7777777777777778
Rocky Mount,PE,6,15539.0,2589.8333333333333333
Atlantic City,CO,8,20711.0,2588.8750000000000000
Providence,ON,6,15501.0,2583.5000000000000000
Charleston,VA,11,28388.0,2580.7272727272727273
Titusville,TN,8,20626.0,2578.2500000000000000
Peru,KY,8,20592.0,2574.0000000000000000
Corvallis,LA,10,25512.0,2551.2000000000000000
New Madrid,NT,6,15238.0,2539.6666666666666667
Thibodaux,NB,9,22832.0,2536.8888888888888889
